Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours,_month,_day,_Disciplinary failure,_drinker,_smoker,_pet,Transportation expense [Binned],Distance from Residence to Work [Binned],Service time [Binned],Age [Binned],Work load Average/day [Binned],Hit target [Binned],Body mass index [Binned]
26,7,3,1,289,36,13,33,239.554,97,0,1,2,1,0,1,90,172,30,4,Jul,Tue,No,Yes,No,Yes,High,High,Low,Low,Low,High,High
0,7,3,1,118,13,18,50,239.554,97,1,1,1,1,0,0,98,178,31,0,Jul,Tue,Yes,Yes,No,No,Low,Low,High,High,Low,High,High
23,7,4,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,2,Jul,Wed,No,Yes,No,No,Low,High,High,High,Low,High,High
7,7,5,1,279,5,14,39,239.554,97,0,1,2,1,1,0,68,168,24,4,Jul,Thu,No,Yes,Yes,No,High,Low,High,High,Low,High,Low
23,7,5,1,289,36,13,33,239.554,97,0,1,2,1,0,1,90,172,30,2,Jul,Thu,No,Yes,No,Yes,High,High,Low,Low,Low,High,High
23,7,6,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,2,Jul,Fri,No,Yes,No,No,Low,High,High,High,Low,High,High
22,7,6,1,361,52,3,28,239.554,97,0,1,1,1,0,4,80,172,27,8,Jul,Fri,No,Yes,No,,High,High,Low,Low,Low,High,High
23,7,6,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23,4,Jul,Fri,No,Yes,No,No,High,High,Low,Low,Low,High,Low
19,7,2,1,155,12,14,34,239.554,97,0,1,2,1,0,0,95,196,25,40,Jul,Mon,No,Yes,No,No,Low,Low,High,Low,Low,High,Low
22,7,2,1,235,11,14,37,239.554,97,0,3,1,0,0,1,88,172,29,8,Jul,Mon,No,No,No,Yes,High,Low,High,Low,Low,High,High
1,7,2,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23,8,Jul,Mon,No,Yes,No,No,High,High,Low,Low,Low,High,Low
1,7,3,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23,8,Jul,Tue,No,Yes,No,No,High,High,Low,Low,Low,High,Low
11,7,4,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23,8,Jul,Wed,No,Yes,No,No,High,High,Low,Low,Low,High,Low
11,7,4,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,1,Jul,Wed,No,Yes,No,No,Low,High,High,High,Low,High,High
23,7,4,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,4,Jul,Wed,No,Yes,No,No,Low,High,High,High,Low,High,High
14,7,6,1,246,25,16,41,239.554,97,0,1,0,1,0,0,67,170,23,8,Jul,Fri,No,Yes,No,No,High,Low,High,High,Low,High,Low
23,7,6,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,2,Jul,Fri,No,Yes,No,No,Low,High,High,High,Low,High,High
21,7,2,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,8,Jul,Mon,No,Yes,No,No,Low,High,High,High,Low,High,High
